Estación:       CUMBRE DE MTY I,  NL
Operada por:    SMN EMAS
Longitud:       100°23'23"  Longitud: 25°33'35"  Altitud: 1455

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
29/01/2018 12:00         265         294        2.20        9.00        12.1         100       941.7         0.0         0.0        11.8          95           6        14.1
29/01/2018 13:00         145          96        0.71       12.60        12.4         100       942.4         0.0         0.3        12.1          95           6        14.1
29/01/2018 14:00          23          10       11.05       30.20        13.5          84       943.5         0.0        19.7        13.0          92           6        14.1
29/01/2018 15:00          27           3        5.83       26.30        15.1          66       944.6         0.0       191.5        15.9          81           6        14.0
29/01/2018 16:00          18          25        9.64       28.80        16.9          52       945.1         0.0       284.3        18.8          66           6        14.0
29/01/2018 17:00          17          22       12.28       41.00        16.4          50       945.1         0.0       152.7        18.1          53           6        14.1
29/01/2018 18:00         350          32        4.95       26.30        16.6          48       944.6         0.0       359.5        20.5          53           6        14.2
29/01/2018 19:00          13          21       12.01       36.70        19.6          38       943.2         0.0       712.0        28.9          36           6        14.4
29/01/2018 20:00           8           7       10.41       31.70        19.6          36       942.4         0.0       440.7        26.1          26           6        14.7
29/01/2018 21:00          19          17       11.00       28.80        18.4          38       942.0         0.0       220.2        21.2          31           6        15.0
29/01/2018 22:00           9          17       10.20       28.80        19.1          34       941.6         0.0       223.8        22.0          31           6        15.4
29/01/2018 23:00          35          10        8.46       27.40        17.9          26       941.8         0.0        67.7        17.6          30           6        15.6
30/01/2018 00:00          46           2       10.30       31.00        16.4          36       942.2         0.0         8.0        15.0          33           6        15.7
30/01/2018 01:00          82          95        7.31       27.40        15.1          42       943.1         0.0         0.0        12.9          40           6        15.8
30/01/2018 02:00          14           9        4.24       21.20        13.9          46       943.6         0.0         0.0        11.9          46           6        15.7
30/01/2018 03:00         204         244        3.09       10.10        10.4          59       944.0         0.0         0.0         8.2          51           6        15.5
30/01/2018 04:00         190         256        1.63        7.60         7.5          70       944.0         0.0         0.0         5.9          58           6        15.4
30/01/2018 05:00         135         109        1.69        9.00         5.9          76       944.1         0.0         0.0         4.2          64           6        15.0
30/01/2018 06:00         180         282        2.12        6.50         4.5          80       943.8         0.0         0.0         2.5          70           6        14.7
30/01/2018 07:00         182          94        2.30        8.60         3.0          85       943.5         0.0         0.0         1.0          74           6        14.3
30/01/2018 08:00         180         169        1.61        5.40         1.6          89       943.2         0.0         0.0        -0.2          78           6        14.0
30/01/2018 09:00         150         114        2.03        6.50         0.9          92       942.7         0.0         0.0        -0.8          82           6        13.6
