 00Z 23 08 2017,  0.00,  6.80
 12Z 23 08 2017,  0.00,  17.26
 00Z 24 08 2017,  0.00,  12.96
 12Z 24 08 2017,  0.00,  12.96
 00Z 25 08 2017,  15.50,  21.23
 12Z 25 08 2017,  0.00,  20.97
 00Z 26 08 2017,  0.00,  16.12
 12Z 26 08 2017,  0.00,  30.58
 00Z 27 08 2017,  21.36 ,  23.58
 12Z 27 08 2017,  0.00,  23.33
 00Z 28 08 2017,  0.00,  21.84
 12Z 28 08 2017,  0.00,  11.09
 00Z 29 08 2017,  0.26 ,  8.89
 12Z 29 08 2017,  0.00,  8.20
 00Z 30 08 2017,  0.61 ,  8.84
 12Z 30 08 2017,  0.00,  14.05
 00Z 31 08 2017,  0.00,  13.92
 12Z 31 08 2017,  0.00,  18.37
 00Z 01 09 2017,  0.00,  27.39
 12Z 01 09 2017,  0.00,  26.80
 00Z 02 09 2017,  0.00,  24.10
 12Z 02 09 2017,  0.00,  7.49
 00Z 03 09 2017,  0.00,  6.79
 12Z 03 09 2017,  0.00,  7.01
 00Z 04 09 2017,  0.00,  13.40
 12Z 04 09 2017,  0.00,  7.25
 00Z 05 09 2017,  0.00,  8.75
 12Z 05 09 2017,  0.00,  11.51
 00Z 06 09 2017,  0.49 ,  10.74
 12Z 06 09 2017,  0.00,  10.55
 00Z 07 09 2017,  0.00,  12.73
 12Z 07 09 2017,  0.00,  14.54
 00Z 08 09 2017,  0.00,  25.48
 12Z 08 09 2017,  0.00,  28.16
 00Z 09 09 2017,  0.00,  13.92
 12Z 09 09 2017,  0.00,  10.78
 00Z 10 09 2017,  0.00,  6.34
 12Z 10 09 2017,  0.00,  6.14
 00Z 11 09 2017,  0.00,  8.63
 12Z 11 09 2017,  0.00,  15.25
 00Z 12 09 2017,  0.00,  9.48
 12Z 12 09 2017,  0.00,  4.43
 00Z 13 09 2017,  0.00,  5.99
 12Z 13 09 2017,  0.00,  7.27
 00Z 14 09 2017,  0.00,  7.29
 12Z 14 09 2017,  0.00,  8.63
 00Z 15 09 2017,  0.00,  6.93
 12Z 15 09 2017,  0.00,  10.62
 00Z 16 09 2017,  0.00,  20.10
 12Z 16 09 2017,  0.00,  13.45
 00Z 17 09 2017,  0.00,  11.35
 12Z 17 09 2017,  0.00,  11.24
 00Z 18 09 2017,  0.00,  9.42
 12Z 18 09 2017,  0.00,  13.92
